utr,amount,date,description,bank_account
UTR_0001,39604,2026-08-16,Credit UTR_0001,ACC001
UTR_0002,748324,2026-08-16,Credit UTR_0002,ACC001
UTR_0003,1194750,2026-08-16,Credit UTR_0003,ACC001
UTR_0004,162085,2026-08-15,Credit UTR_0004,ACC001
UTR_0005,1130788,2026-08-16,Credit UTR_0005,ACC001
UTR_0006,498432,2026-08-16,Credit UTR_0006,ACC001
UTR_0007,629979,2026-08-16,Credit UTR_0007,ACC001
UTR_0008,405982,2026-08-15,Credit UTR_0008,ACC001
UTR_0009,404979,2026-08-16,Credit UTR_0009,ACC001
UTR_0010,970426,2026-08-15,Credit UTR_0010,ACC001
UTR_0011,1044988,2026-08-16,Credit UTR_0011,ACC001
UTR_0012,1091500,2026-08-16,Credit UTR_0012,ACC001
UTR_0013,966798,2026-08-16,Credit UTR_0013,ACC001
UTR_0014,696034,2026-08-15,Credit UTR_0014,ACC001
UTR_0015,138485,2026-08-16,Credit UTR_0015,ACC001
UTR_0016,453376,2026-08-16,Credit UTR_0016,ACC001
UTR_0017,479332,2026-08-16,Credit UTR_0017,ACC001
UTR_0018,1031191,2026-08-16,Credit UTR_0018,ACC001
UTR_0019,319565,2026-08-16,Credit UTR_0019,ACC001
UTR_0020,719346,2026-08-15,Credit UTR_0020,ACC001
UTR_0021,386046,2026-08-15,Credit UTR_0021,ACC001
UTR_0022,79731,2026-08-15,Credit UTR_0022,ACC001
UTR_0023,238280,2026-08-15,Credit UTR_0023,ACC001
UTR_0024,98896,2026-08-16,Credit UTR_0024,ACC001
UTR_0025,847478,2026-08-16,Credit UTR_0025,ACC001
UTR_0026,225032,2026-08-16,Credit UTR_0026,ACC001
UTR_0027,74822,2026-08-16,Credit UTR_0027,ACC001
UTR_0028,263225,2026-08-16,Credit UTR_0028,ACC001
UTR_0029,374734,2026-08-16,Credit UTR_0029,ACC001
UTR_0030,786722,2026-08-16,Credit UTR_0030,ACC001
UTR_0031,29016,2026-08-16,Credit UTR_0031,ACC001
UTR_0032,157585,2026-08-15,Credit UTR_0032,ACC001
UTR_0033,65877,2026-08-16,Credit UTR_0033,ACC001
UTR_0034,101490,2026-08-15,Credit UTR_0034,ACC001
UTR_0035,84707,2026-08-16,Credit UTR_0035,ACC001
UTR_DUP_0036,1001926,2026-08-16,Credit UTR_DUP_0036,ACC001
UTR_DUP_0037,450565,2026-08-16,Credit UTR_DUP_0037,ACC001
UTR_WRONG_0038,921068,2026-08-21,Credit UTR_WRONG_0038,ACC001
UTR_WRONG_0039,62106,2026-08-21,Credit UTR_WRONG_0039,ACC001
UTR_WRONG_0040,657822,2026-08-21,Credit UTR_WRONG_0040,ACC001
UTR_WRONG_0041,627940,2026-08-21,Credit UTR_WRONG_0041,ACC001
UTR_WRONG_0042,584485,2026-08-21,Credit UTR_WRONG_0042,ACC001
UTR_0043,1597033,2026-08-16,Credit UTR_0043,ACC001
UTR_0044,894485,2026-08-16,Credit UTR_0044,ACC001
UTR_0045,257226,2026-08-16,Credit UTR_0045,ACC001
UTR_0046,867963,2026-08-16,Credit UTR_0046,ACC001
UTR_0047,918704,2026-08-16,Credit UTR_0047,ACC001
UTR_0048,1312505,2026-08-16,Credit UTR_0048,ACC001
UTR_0049,996286,2026-08-16,Credit UTR_0049,ACC001
UTR_0050,1377996,2026-08-16,Credit UTR_0050,ACC001
UTR_0051,381499,2026-08-16,Credit UTR_0051,ACC001
UTR_0052,364456,2026-08-16,Credit UTR_0052,ACC001
UTR_0053,332470,2026-08-16,Credit UTR_0053,ACC001
UTR_0054,477063,2026-08-15,Credit UTR_0054,ACC001
UTR_0055,330804,2026-08-16,Credit UTR_0055,ACC001
UTR_0056,818380,2026-08-16,Credit UTR_0056,ACC001
UTR_0057,919147,2026-08-16,Credit UTR_0057,ACC001
UTR_0058,642002,2026-08-16,Credit UTR_0058,ACC001
UTR_0059,344964,2026-08-16,Credit UTR_0059,ACC001
UTR_0060,620454,2026-08-16,Credit UTR_0060,ACC001
