refund_id,payment_id,amount,status,created_at
REF_0001_00,PAY_0001_00,22274,processed,2026-08-16
REF_0004_00,PAY_0004_00,70384,processed,2026-08-15
REF_0008_00,PAY_0008_01,50452,processed,2026-08-16
REF_0009_00,PAY_0009_00,55838,processed,2026-08-16
REF_0015_00,PAY_0015_00,96032,processed,2026-08-15
REF_0018_00,PAY_0018_00,30107,processed,2026-08-15
REF_0023_00,PAY_0023_00,29141,processed,2026-08-16
REF_0049_00,PAY_0049_01,8808,processed,2026-08-15
REF_0050_00,PAY_0050_01,7153,processed,2026-08-16
REF_0051_00,PAY_0051_02,1889,processed,2026-08-15
REF_0052_00,PAY_0052_01,7290,processed,2026-08-16
REF_0053_00,PAY_0053_00,3381,processed,2026-08-16
REF_0053_01,PAY_0053_01,1322,processed,2026-08-16
REF_LATE_0059_00,PAY_0059_01,6007,processed,2026-08-18
REF_LATE_0060_00,PAY_0060_00,1875,processed,2026-08-18
REF_LATE_0061_00,PAY_0061_01,5058,processed,2026-08-18
REF_LATE_0062_00,PAY_0062_00,1159,processed,2026-08-18
REF_LATE_0063_00,PAY_0063_00,9740,processed,2026-08-17
REF_RACE_0064_00,PAY_0064_01,5216,processed,2026-08-16
REF_RACE_0065_00,PAY_0065_01,7465,processed,2026-08-16
REF_RACE_0066_00,PAY_0066_01,603,processed,2026-08-15
REF_RACE_0067_00,PAY_0067_02,7120,processed,2026-08-16
REF_RACE_0068_00,PAY_0068_02,5973,processed,2026-08-15
