settlement_id,amount,status,utr,created_at,settled_at,linked_payment_ids,linked_refund_ids
SETL_001,50000,settled,UTR_DEMO_001,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_001""]",[]
SETL_002,77994,settled,UTR_DEMO_002,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_002""]",[]
SETL_003,149174,settled,UTR_DEMO_003,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_003""]",[]
SETL_004,43820,settled,UTR_DEMO_004,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_004""]",[]
SETL_005,95000,settled,UTR_DEMO_005,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_005""]",[]
SETL_006,58466,settled,UTR_DEMO_006,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_006""]",[]
SETL_007,68000,settled,UTR_DEMO_007,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_007""]","[""REF_007""]"
SETL_008,53000,settled,UTR_DEMO_008,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_008""]",[]
SETL_009,36500,settled,UTR_DEMO_009,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_009""]","[""REF_009""]"
SETL_010,0,settled,UTR_DUP_010,2026-08-20T10:00:00,2026-08-21T10:00:00,"[""PAY_010""]",[]
