settlement_id,amount,status,utr,created_at,settled_at,linked_payment_ids,linked_refund_ids
SETL_0001,39604,settled,UTR_0001,2026-08-15,2026-08-16,"[""PAY_0001_00""]","[""REF_0001_00""]"
SETL_0002,748324,settled,UTR_0002,2026-08-15,2026-08-16,"[""PAY_0002_00"", ""PAY_0002_01"", ""PAY_0002_02"", ""PAY_0002_03""]",[]
SETL_0003,1194750,settled,UTR_0003,2026-08-15,2026-08-16,"[""PAY_0003_00"", ""PAY_0003_01"", ""PAY_0003_02"", ""PAY_0003_03""]",[]
SETL_0004,162085,settled,UTR_0004,2026-08-15,2026-08-15,"[""PAY_0004_00""]","[""REF_0004_00""]"
SETL_0005,1130788,settled,UTR_0005,2026-08-15,2026-08-16,"[""PAY_0005_00"", ""PAY_0005_01"", ""PAY_0005_02""]",[]
SETL_0006,498432,settled,UTR_0006,2026-08-15,2026-08-16,"[""PAY_0006_00""]",[]
SETL_0007,629979,settled,UTR_0007,2026-08-15,2026-08-16,"[""PAY_0007_00"", ""PAY_0007_01""]",[]
SETL_0008,405982,settled,UTR_0008,2026-08-15,2026-08-15,"[""PAY_0008_00"", ""PAY_0008_01""]","[""REF_0008_00""]"
SETL_0009,404979,settled,UTR_0009,2026-08-15,2026-08-16,"[""PAY_0009_00""]","[""REF_0009_00""]"
SETL_0010,970426,settled,UTR_0010,2026-08-15,2026-08-15,"[""PAY_0010_00"", ""PAY_0010_01"", ""PAY_0010_02"", ""PAY_0010_03""]",[]
SETL_0011,1044988,settled,UTR_0011,2026-08-15,2026-08-16,"[""PAY_0011_00"", ""PAY_0011_01"", ""PAY_0011_02"", ""PAY_0011_03""]",[]
SETL_0012,1091500,settled,UTR_0012,2026-08-15,2026-08-16,"[""PAY_0012_00"", ""PAY_0012_01"", ""PAY_0012_02""]",[]
SETL_0013,966798,settled,UTR_0013,2026-08-15,2026-08-16,"[""PAY_0013_00"", ""PAY_0013_01"", ""PAY_0013_02"", ""PAY_0013_03""]",[]
SETL_0014,696034,settled,UTR_0014,2026-08-15,2026-08-15,"[""PAY_0014_00"", ""PAY_0014_01""]",[]
SETL_0015,138485,settled,UTR_0015,2026-08-15,2026-08-16,"[""PAY_0015_00""]","[""REF_0015_00""]"
SETL_0016,453376,settled,UTR_0016,2026-08-15,2026-08-16,"[""PAY_0016_00"", ""PAY_0016_01""]",[]
SETL_0017,479332,settled,UTR_0017,2026-08-15,2026-08-16,"[""PAY_0017_00"", ""PAY_0017_01""]",[]
SETL_0018,1031191,settled,UTR_0018,2026-08-15,2026-08-16,"[""PAY_0018_00"", ""PAY_0018_01"", ""PAY_0018_02"", ""PAY_0018_03""]","[""REF_0018_00""]"
SETL_0019,319565,settled,UTR_0019,2026-08-15,2026-08-16,"[""PAY_0019_00""]",[]
SETL_0020,719346,settled,UTR_0020,2026-08-15,2026-08-15,"[""PAY_0020_00"", ""PAY_0020_01""]",[]
SETL_0021,386046,settled,UTR_0021,2026-08-15,2026-08-15,"[""PAY_0021_00""]",[]
SETL_0022,79731,settled,UTR_0022,2026-08-15,2026-08-15,"[""PAY_0022_00""]",[]
SETL_0023,238280,settled,UTR_0023,2026-08-15,2026-08-15,"[""PAY_0023_00"", ""PAY_0023_01""]","[""REF_0023_00""]"
SETL_0024,98896,settled,UTR_0024,2026-08-15,2026-08-16,"[""PAY_0024_00""]",[]
SETL_0025,847478,settled,UTR_0025,2026-08-15,2026-08-16,"[""PAY_0025_00"", ""PAY_0025_01"", ""PAY_0025_02"", ""PAY_0025_03""]",[]
SETL_0026,225032,settled,UTR_0026,2026-08-15,2026-08-16,"[""PAY_0026_00"", ""PAY_0026_01""]",[]
SETL_0027,74822,settled,UTR_0027,2026-08-15,2026-08-16,"[""PAY_0027_00""]",[]
SETL_0028,263225,settled,UTR_0028,2026-08-15,2026-08-16,"[""PAY_0028_00""]","[""REF_0028_00""]"
SETL_0029,374734,settled,UTR_0029,2026-08-15,2026-08-16,"[""PAY_0029_00""]",[]
SETL_0030,786722,settled,UTR_0030,2026-08-15,2026-08-16,"[""PAY_0030_00"", ""PAY_0030_01"", ""PAY_0030_02""]",[]
SETL_0031,29016,settled,UTR_0031,2026-08-15,2026-08-16,"[""PAY_GHOST_0031_00"", ""PAY_GHOST_0031_01"", ""PAY_GHOST_0031_02""]",[]
SETL_0032,157585,settled,UTR_0032,2026-08-15,2026-08-15,"[""PAY_GHOST_0032_00"", ""PAY_GHOST_0032_01"", ""PAY_GHOST_0032_02"", ""PAY_GHOST_0032_03""]",[]
SETL_0033,65877,settled,UTR_0033,2026-08-15,2026-08-16,"[""PAY_GHOST_0033_00"", ""PAY_GHOST_0033_01"", ""PAY_GHOST_0033_02"", ""PAY_GHOST_0033_03""]",[]
SETL_0034,101490,settled,UTR_0034,2026-08-15,2026-08-15,"[""PAY_GHOST_0034_00"", ""PAY_GHOST_0034_01""]",[]
SETL_0035,84707,settled,UTR_0035,2026-08-15,2026-08-16,"[""PAY_GHOST_0035_00"", ""PAY_GHOST_0035_01"", ""PAY_GHOST_0035_02""]",[]
SETL_0036,926542,settled,UTR_0036,2026-08-15,2026-08-15,"[""PAY_0036_00"", ""PAY_0036_01"", ""PAY_0036_02""]",[]
SETL_0037,450565,settled,UTR_0037,2026-08-15,2026-08-16,"[""PAY_0037_00"", ""PAY_0037_01""]",[]
SETL_0038,639172,settled,UTR_0038,2026-08-15,2026-08-16,"[""PAY_0038_00"", ""PAY_0038_01""]",[]
SETL_0039,373402,settled,UTR_0039,2026-08-15,2026-08-15,"[""PAY_0039_00""]",[]
SETL_0040,374850,settled,UTR_0040,2026-08-15,2026-08-16,"[""PAY_0040_00""]",[]
SETL_0041,1088388,settled,UTR_0041,2026-08-15,2026-08-15,"[""PAY_0041_00"", ""PAY_0041_01"", ""PAY_0041_02"", ""PAY_0041_03""]",[]
SETL_0042,649886,settled,UTR_0042,2026-08-15,2026-08-16,"[""PAY_0042_00"", ""PAY_0042_01"", ""PAY_0042_02""]",[]
SETL_0043,560972,settled,UTR_0043,2026-08-15,2026-08-16,"[""PAY_0043_00"", ""PAY_0043_01""]",[]
SETL_0044,894485,settled,UTR_0044,2026-08-15,2026-08-16,"[""PAY_0044_00"", ""PAY_0044_01"", ""PAY_0044_02""]",[]
SETL_0045,257226,settled,UTR_0045,2026-08-15,2026-08-16,"[""PAY_0045_00"", ""PAY_0045_01""]",[]
SETL_0046,867964,settled,UTR_0046,2026-08-15,2026-08-16,"[""PAY_0046_00"", ""PAY_0046_01"", ""PAY_0046_02"", ""PAY_0046_03""]",[]
SETL_0047,918728,settled,UTR_0047,2026-08-15,2026-08-16,"[""PAY_0047_00"", ""PAY_0047_01"", ""PAY_0047_02""]",[]
SETL_0048,1312505,settled,UTR_0048,2026-08-15,2026-08-16,"[""PAY_0048_00"", ""PAY_0048_01"", ""PAY_0048_02"", ""PAY_0048_03""]",[]
SETL_0049,507482,settled,UTR_0049,2026-08-15,2026-08-16,"[""PAY_0049_00"", ""PAY_0049_01"", ""PAY_0049_02""]","[""REF_0049_00"", ""REF_0049_01""]"
SETL_0050,707973,settled,UTR_0050,2026-08-15,2026-08-16,"[""PAY_0050_00"", ""PAY_0050_01"", ""PAY_0050_02""]","[""REF_0050_00""]"
SETL_0051,429211,settled,UTR_0051,2026-08-15,2026-08-16,"[""PAY_0051_00"", ""PAY_0051_01"", ""PAY_0051_02""]","[""REF_0051_00""]"
SETL_0052,114827,settled,UTR_0052,2026-08-15,2026-08-16,"[""PAY_0052_00"", ""PAY_0052_01""]","[""REF_0052_00"", ""REF_0052_01""]"
SETL_0053,771329,settled,UTR_0053,2026-08-15,2026-08-15,"[""PAY_0053_00"", ""PAY_0053_01"", ""PAY_0053_02""]","[""REF_0053_00"", ""REF_0053_01""]"
SETL_0054,506242,settled,UTR_0054,2026-08-15,2026-08-16,"[""PAY_0054_00"", ""PAY_0054_01"", ""PAY_0054_02""]",[]
SETL_0055,585808,settled,UTR_0055,2026-08-15,2026-08-16,"[""PAY_0055_00"", ""PAY_0055_01""]",[]
SETL_0056,793540,settled,UTR_0056,2026-08-15,2026-08-16,"[""PAY_0056_00"", ""PAY_0056_01""]",[]
SETL_0057,580588,settled,UTR_0057,2026-08-15,2026-08-16,"[""PAY_0057_00"", ""PAY_0057_01""]",[]
SETL_0058,853333,settled,UTR_0058,2026-08-15,2026-08-15,"[""PAY_0058_00"", ""PAY_0058_01""]",[]
SETL_0059,359994,settled,UTR_0059,2026-08-15,2026-08-16,"[""PAY_0059_00"", ""PAY_0059_01""]",[]
SETL_0060,715283,settled,UTR_0060,2026-08-15,2026-08-15,"[""PAY_0060_00"", ""PAY_0060_01"", ""PAY_0060_02""]",[]
SETL_0061,66292,settled,UTR_0061,2026-08-15,2026-08-16,"[""PAY_0061_00"", ""PAY_0061_01""]",[]
SETL_0062,472431,settled,UTR_0062,2026-08-15,2026-08-16,"[""PAY_0062_00"", ""PAY_0062_01""]",[]
SETL_0063,391724,settled,UTR_0063,2026-08-15,2026-08-16,"[""PAY_0063_00"", ""PAY_0063_01""]",[]
SETL_0064,256719,settled,UTR_0064,2026-08-15,2026-08-15,"[""PAY_0064_00"", ""PAY_0064_01""]",[]
SETL_0065,355623,settled,UTR_0065,2026-08-15,2026-08-16,"[""PAY_0065_00"", ""PAY_0065_01"", ""PAY_0065_02""]",[]
SETL_0066,477967,settled,UTR_0066,2026-08-15,2026-08-16,"[""PAY_0066_00"", ""PAY_0066_01"", ""PAY_0066_02""]",[]
SETL_0067,347651,settled,UTR_0067,2026-08-15,2026-08-16,"[""PAY_0067_00"", ""PAY_0067_01"", ""PAY_0067_02""]",[]
